City,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille,Rennes,Reims,LeHavre,Saint-Étienne,Toulon,Amiens,Metz,Besançon,Orléans,Mulhouse,Rouen,Caen,Nancy,Tours
Paris,0,80,60,90,90,60,70,90,70,50,50,40,30,70,90,40,60,60,40,80,30,50,60,60
Marseille,80,0,60,60,40,90,80,40,60,100,100,90,100,50,20,90,70,70,80,50,90,90,70,90
Lyon,60,60,0,60,40,80,60,60,70,80,80,60,80,30,50,70,50,40,50,60,70,70,40,70
Toulouse,90,60,60,0,50,60,90,30,40,100,90,80,90,70,60,90,80,70,70,70,90,80,80,60
Nice,90,40,40,50,0,90,90,40,50,110,100,90,100,50,20,100,80,70,80,50,90,90,80,90
Nantes,60,90,80,60,90,0,90,70,40,60,50,70,60,90,90,60,90,80,50,90,50,40,90,40
Strasbourg,70,80,60,90,90,90,0,80,90,70,90,50,80,70,90,70,30,40,70,40,70,90,30,90
Montpellier,90,40,60,30,40,70,80,0,50,100,90,80,90,60,40,90,80,70,60,60,90,80,80,70
Bordeaux,70,60,70,40,50,40,90,50,0,90,70,80,70,80,60,70,80,70,60,70,70,70,80,30
Lille,50,100,80,100,110,60,70,100,90,0,60,50,40,80,100,30,60,70,50,80,40,50,60,60
Rennes,50,100,80,90,100,50,90,90,70,60,0,70,60,90,100,50,90,80,50,90,50,40,90,40
Reims,40,90,60,80,90,70,50,80,80,50,70,0,60,60,90,50,30,50,40,40,50,70,30,70
LeHavre,30,100,80,90,100,60,80,90,70,40,60,60,0,80,100,40,60,70,50,80,30,50,60,60
Saint-Étienne,70,50,30,70,50,90,70,60,80,80,90,60,80,0,60,80,50,30,50,60,80,80,50,80
Toulon,90,20,50,60,20,90,90,40,60,100,100,90,100,60,0,100,80,70,80,50,90,90,80,90
Amiens,40,90,70,90,100,60,70,90,70,30,50,50,40,80,100,0,60,70,50,80,30,50,60,60
Metz,60,70,50,80,80,90,30,80,80,60,90,30,60,50,80,60,0,40,60,40,60,90,30,80
Besançon,60,70,40,70,70,80,40,70,70,70,80,50,70,30,70,70,40,0,50,50,70,80,40,70
Orléans,40,80,50,70,80,50,70,60,60,50,50,40,50,50,80,50,60,50,0,70,50,50,60,50
Mulhouse,80,50,60,70,50,90,40,60,70,80,90,40,80,60,50,80,40,50,70,0,80,90,40,70
Rouen,30,90,70,90,90,50,70,90,70,40,50,50,30,80,90,30,60,70,50,80,0,50,60,60
Caen,50,90,70,80,90,40,90,80,70,50,40,70,50,80,90,50,90,80,50,90,50,0,90,40
Nancy,60,70,40,80,80,90,30,80,80,60,90,30,60,50,80,60,30,40,60,40,60,90,0,80
Tours,60,90,70,60,90,40,90,70,30,60,40,70,60,80,90,60,80,70,50,70,60,40,80,0
